Dx	e2
0	74
1	65
2	64
3	75
4	64
5	66
6	73
7	63
8	69.5
8.5	74
9	70
10	64
11	75
12	67
13	63
14	74
15	65
16	63.5
17	75
18	63.5
19	66
20	74
21	64
22	70
22	75
23	69
24	64
25	74
26	67
27	64
28	75
29	65
30	63
31	75
32	63
33	65
34	74.5
